# Approximate S-PASS DR1 response: uniform RJ-temperature weights, not measured gains.
# Windows (GHz): 2.176-2.216 and 2.272-2.400; nominal frequency 2.303 GHz.
# Source: Carretti et al. 2019, MNRAS 489, 2330, Table 1 and Section 2.
# https://doi.org/10.1093/mnras/stz806
# Integration grid: 0.25 MHz; edge ramps: 0.1 Hz, negligible relative to 168 MHz.
# Zero-response points preserve the 56 MHz gap with trapezoidal integration.
# Frequency_GHz  Relative_RJ_response
2.1759999999 0.0
2.1760000000 1.0
2.1762500000 1.0
2.1765000000 1.0
2.1767500000 1.0
2.1770000000 1.0
2.1772500000 1.0
2.1775000000 1.0
2.1777500000 1.0
2.1780000000 1.0
2.1782500000 1.0
2.1785000000 1.0
2.1787500000 1.0
2.1790000000 1.0
2.1792500000 1.0
2.1795000000 1.0
2.1797500000 1.0
2.1800000000 1.0
2.1802500000 1.0
2.1805000000 1.0
2.1807500000 1.0
2.1810000000 1.0
2.1812500000 1.0
2.1815000000 1.0
2.1817500000 1.0
2.1820000000 1.0
2.1822500000 1.0
2.1825000000 1.0
2.1827500000 1.0
2.1830000000 1.0
2.1832500000 1.0
2.1835000000 1.0
2.1837500000 1.0
2.1840000000 1.0
2.1842500000 1.0
2.1845000000 1.0
2.1847500000 1.0
2.1850000000 1.0
2.1852500000 1.0
2.1855000000 1.0
2.1857500000 1.0
2.1860000000 1.0
2.1862500000 1.0
2.1865000000 1.0
2.1867500000 1.0
2.1870000000 1.0
2.1872500000 1.0
2.1875000000 1.0
2.1877500000 1.0
2.1880000000 1.0
2.1882500000 1.0
2.1885000000 1.0
2.1887500000 1.0
2.1890000000 1.0
2.1892500000 1.0
2.1895000000 1.0
2.1897500000 1.0
2.1900000000 1.0
2.1902500000 1.0
2.1905000000 1.0
2.1907500000 1.0
2.1910000000 1.0
2.1912500000 1.0
2.1915000000 1.0
2.1917500000 1.0
2.1920000000 1.0
2.1922500000 1.0
2.1925000000 1.0
2.1927500000 1.0
2.1930000000 1.0
2.1932500000 1.0
2.1935000000 1.0
2.1937500000 1.0
2.1940000000 1.0
2.1942500000 1.0
2.1945000000 1.0
2.1947500000 1.0
2.1950000000 1.0
2.1952500000 1.0
2.1955000000 1.0
2.1957500000 1.0
2.1960000000 1.0
2.1962500000 1.0
2.1965000000 1.0
2.1967500000 1.0
2.1970000000 1.0
2.1972500000 1.0
2.1975000000 1.0
2.1977500000 1.0
2.1980000000 1.0
2.1982500000 1.0
2.1985000000 1.0
2.1987500000 1.0
2.1990000000 1.0
2.1992500000 1.0
2.1995000000 1.0
2.1997500000 1.0
2.2000000000 1.0
2.2002500000 1.0
2.2005000000 1.0
2.2007500000 1.0
2.2010000000 1.0
2.2012500000 1.0
2.2015000000 1.0
2.2017500000 1.0
2.2020000000 1.0
2.2022500000 1.0
2.2025000000 1.0
2.2027500000 1.0
2.2030000000 1.0
2.2032500000 1.0
2.2035000000 1.0
2.2037500000 1.0
2.2040000000 1.0
2.2042500000 1.0
2.2045000000 1.0
2.2047500000 1.0
2.2050000000 1.0
2.2052500000 1.0
2.2055000000 1.0
2.2057500000 1.0
2.2060000000 1.0
2.2062500000 1.0
2.2065000000 1.0
2.2067500000 1.0
2.2070000000 1.0
2.2072500000 1.0
2.2075000000 1.0
2.2077500000 1.0
2.2080000000 1.0
2.2082500000 1.0
2.2085000000 1.0
2.2087500000 1.0
2.2090000000 1.0
2.2092500000 1.0
2.2095000000 1.0
2.2097500000 1.0
2.2100000000 1.0
2.2102500000 1.0
2.2105000000 1.0
2.2107500000 1.0
2.2110000000 1.0
2.2112500000 1.0
2.2115000000 1.0
2.2117500000 1.0
2.2120000000 1.0
2.2122500000 1.0
2.2125000000 1.0
2.2127500000 1.0
2.2130000000 1.0
2.2132500000 1.0
2.2135000000 1.0
2.2137500000 1.0
2.2140000000 1.0
2.2142500000 1.0
2.2145000000 1.0
2.2147500000 1.0
2.2150000000 1.0
2.2152500000 1.0
2.2155000000 1.0
2.2157500000 1.0
2.2160000000 1.0
2.2160000001 0.0
2.2719999999 0.0
2.2720000000 1.0
2.2722500000 1.0
2.2725000000 1.0
2.2727500000 1.0
2.2730000000 1.0
2.2732500000 1.0
2.2735000000 1.0
2.2737500000 1.0
2.2740000000 1.0
2.2742500000 1.0
2.2745000000 1.0
2.2747500000 1.0
2.2750000000 1.0
2.2752500000 1.0
2.2755000000 1.0
2.2757500000 1.0
2.2760000000 1.0
2.2762500000 1.0
2.2765000000 1.0
2.2767500000 1.0
2.2770000000 1.0
2.2772500000 1.0
2.2775000000 1.0
2.2777500000 1.0
2.2780000000 1.0
2.2782500000 1.0
2.2785000000 1.0
2.2787500000 1.0
2.2790000000 1.0
2.2792500000 1.0
2.2795000000 1.0
2.2797500000 1.0
2.2800000000 1.0
2.2802500000 1.0
2.2805000000 1.0
2.2807500000 1.0
2.2810000000 1.0
2.2812500000 1.0
2.2815000000 1.0
2.2817500000 1.0
2.2820000000 1.0
2.2822500000 1.0
2.2825000000 1.0
2.2827500000 1.0
2.2830000000 1.0
2.2832500000 1.0
2.2835000000 1.0
2.2837500000 1.0
2.2840000000 1.0
2.2842500000 1.0
2.2845000000 1.0
2.2847500000 1.0
2.2850000000 1.0
